,Unnamed: 0,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,amenities,bedrooms,beds,price,review_scores_value,review_scores_location,review_scores_rating,shared_bath,private_bath
1261,1261,1,1.4,43.80263,11.23692,2,0,3,0.3234116685019532,1.0,3.0,60.0,4.38,4.54,4.62,0.0,1.0
1262,1262,1,1.1,43.77464,11.25551,0,0,6,0.2088655542761396,2.0,3.0,76.0,4.74,4.98,4.68,0.0,1.0
1263,1263,1,1.1,43.76844,11.25483,2,0,5,0.21422787722598352,2.0,3.0,350.0,5.0,5.0,5.0,0.0,1.5
1264,1264,1,1.1,43.766918,11.251107,2,0,2,0.18726778268936636,1.0,1.0,36.0,4.79,4.99,4.9,0.0,1.0
1265,1265,1,1.1,43.76635,11.25436,0,0,3,0.2714456568235879,1.0,1.0,75.0,4.32,4.89,4.16,0.0,1.0
1266,1266,1,1.1,43.76591,11.25065,2,0,2,0.41059146800033025,1.0,1.0,85.0,3.67,4.67,3.33,0.0,1.0
1267,1267,1,1.1,43.76669,11.25254,0,0,4,0.24064914957388825,1.0,2.0,152.0,4.86,5.0,4.71,0.0,1.0
1268,1268,1,1.1,43.76671,11.25176,0,0,2,0.30047948707224215,1.0,1.0,170.0,4.79,4.99,4.86,0.0,1.0
1269,1269,1,1.1,43.77473,11.25238,0,0,2,0.20717575354410203,1.0,1.0,66.0,4.33,4.96,4.41,0.0,1.0
1270,1270,1,1.1,43.76956,11.25403,2,0,8,0.21727423131061677,3.0,3.0,445.0,4.83,5.0,5.0,0.0,2.0
1271,1271,1,1.4,43.79664,11.23002,16,2,2,0.31566173670187647,1.0,1.0,50.0,5.0,4.5,4.75,0.0,1.0
1272,1272,1,1.1,43.76492,11.26326,11,0,6,0.2202894514032051,3.0,4.0,338.0,5.0,5.0,5.0,0.0,2.0
1273,1273,1,1.1,43.76634907494955,11.25034877047774,0,0,6,0.29795407407293767,2.0,4.0,240.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.5
1274,1274,1,1.1,43.76824,11.24099,8,2,2,0.3241466965673604,1.0,1.0,32.0,4.67,5.0,4.67,1.5,0.0
1275,1275,1,1.1,43.77813,11.25383,0,0,4,0.1958025187391359,1.0,2.0,95.0,4.6,4.8,4.77,0.0,1.0
1276,1276,1,1.4,43.78735,11.262,8,2,2,0.2820610947222319,1.0,2.0,20.0,4.69,4.43,4.57,2.0,0.0
1277,1277,1,1.1,43.76904,11.2526,0,0,4,0.21298902949263046,1.0,2.0,187.0,4.57,5.0,4.64,0.0,1.0
1278,1278,1,1.1,43.7698604,11.2547774,2,0,7,0.2849479106252136,3.0,4.0,502.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,3.0
1279,1279,1,1.1,43.76558,11.24828,0,0,6,0.3448031317791599,2.0,3.0,86.0,4.63,4.83,4.63,0.0,1.0
1280,1280,1,1.0,43.79494,11.27234,6,0,7,0.2075871928381867,3.0,4.0,90.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,2.0
1281,1281,1,1.3,43.76457,11.21849,8,2,2,0.31948767338413314,1.0,2.0,25.0,4.81,4.44,4.89,0.0,1.0
1282,1282,1,1.0,43.78124,11.26852,0,0,2,0.23755661626104466,1.0,1.0,90.0,5.0,4.67,5.0,0.0,1.0
1283,1283,1,1.1,43.77648,11.24241,0,0,3,0.2445423463734605,2.0,4.0,75.0,4.88,4.88,4.94,0.0,1.5
1284,1284,1,1.1,43.76936,11.25114,2,0,4,0.1303262620263045,2.0,2.0,106.0,4.38,4.75,4.44,0.0,2.0
1285,1285,1,1.0,43.77328,11.29385,8,2,2,0.5064618368437902,1.0,1.0,50.0,4.673695140226933,4.81356026546778,0.0,1.0,0.0
1286,1286,1,1.1,43.76934,11.25267,2,0,5,0.18564969288684705,2.0,3.0,106.0,4.73,4.98,4.73,0.0,1.0
1287,1287,1,1.1,43.76583,11.25691,8,2,2,0.2799435823694849,1.0,1.0,66.0,4.69,4.94,4.61,1.0,0.0
1288,1288,1,1.1,43.76996,11.25598,8,2,1,0.10975763307507864,1.0,1.0,15.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
1289,1289,1,1.1,43.78797,11.23167,8,2,1,0.2496328386765057,1.0,1.0,14.0,4.97,4.66,4.97,1.0,0.0
1290,1290,1,1.1,43.78804,11.23114,8,2,2,0.33556913107675396,1.0,1.0,19.0,4.84,4.5,4.86,1.0,0.0
1291,1291,1,1.4,43.79366,11.23586,13,0,2,0.2537236444326454,1.0,2.0,60.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
